@relation bank-additional-train-m-weka.filters.unsupervised.instance.RemovePercentage-P60.698-V

@attribute age {'\'(29.666667-41.333333]\'','\'(-inf-29.666667]\'','\'(53-64.666667]\'','\'(41.333333-53]\'','\'(76.333333-inf)\'','\'(64.666667-76.333333]\''}
@attribute job=retired numeric
@attribute contact {cellular,telephone}
@attribute month {jun,may,jul,sep,aug,apr,nov,oct,mar,dec}
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {nonexistent,failure,success}
@attribute emp.var.rate numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute euribor3m numeric
@attribute nr.employed numeric
@attribute duration numeric
@attribute y {yes,no}

@data
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.32347,-0.914668,0.077134,no
'\'(29.666667-41.333333]\'',0,cellular,apr,0.201007,-0.351313,nonexistent,-1.205908,-0.871158,-1.436671,-1.278477,-0.914668,0.081526,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,1.494426,failure,-0.118336,-0.655398,-0.326667,0.262256,0.397979,0.045292,no
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.775641,0.836434,0.032116,no
'\'(53-64.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.773334,0.836434,0.019489,no
'\'(-inf-29.666667]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,-1.909631,-1.064478,-0.06549,-1.362118,-1.225523,0.025803,no
'\'(29.666667-41.333333]\'',0,cellular,sep,0.201007,-0.351313,nonexistent,-2.229505,-2.072507,2.328637,-1.643038,-2.022342,0.042547,no
'\'(41.333333-53]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.771026,0.836434,0.018391,no
'\'(29.666667-41.333333]\'',0,cellular,sep,0.201007,1.494426,failure,-0.758084,1.068951,0.652748,-1.581893,-2.754004,0.062586,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77218,0.836434,0.1507,no
'\'(41.333333-53]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.771603,0.836434,0.010705,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77218,0.836434,0.373319,yes
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.775641,0.836434,0.118858,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.313664,-0.914668,0.096624,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.041724,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.350004,-0.914668,0.010431,no
'\'(53-64.666667]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.306672,0.397979,0.036783,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,0.511429,0.108628,-1.703606,-2.141797,0.045292,no
'\'(-inf-29.666667]\'',0,cellular,aug,0.201007,1.494426,failure,-1.909631,-2.379748,1.9804,-1.613042,-1.225523,0.022234,no
'\'(41.333333-53]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.262256,0.397979,0.016195,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.344236,-0.914668,0.069997,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.027175,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.711612,0.332822,0.070546,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.04392,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.776218,0.836434,0.021411,no
'\'(41.333333-53]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.319432,-0.914668,0.059566,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.313664,-0.914668,0.010156,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.178424,yes
'\'(53-64.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77218,0.836434,0.063135,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77391,0.836434,0.017568,no
'\'(-inf-29.666667]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.71738,0.836434,0.030744,no
'\'(41.333333-53]\'',0,cellular,apr,0.201007,1.494426,failure,-1.205908,-0.871158,-1.436671,-1.261171,-0.914668,0.041724,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.358657,-0.914668,0.028548,no
'\'(53-64.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.027724,no
'\'(41.333333-53]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.23053,0.397979,0.056547,no
'\'(41.333333-53]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.71738,0.836434,0.017293,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.713343,0.332822,0.093055,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,1.494426,failure,-0.118336,-0.655398,-0.326667,0.328592,0.397979,0.037332,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.040626,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.262256,0.397979,0.060664,no
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.773334,0.836434,0.07933,no
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.713919,0.332822,0.042547,no
'\'(53-64.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.714496,0.332822,0.085369,no
'\'(53-64.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77218,0.836434,0.004666,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.772757,0.836434,0.089487,no
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.775641,0.836434,0.058468,no
'\'(41.333333-53]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,-1.141933,0.772066,0.47863,-1.567472,-2.37392,0.149327,yes
'\'(41.333333-53]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.772757,0.836434,0.047488,no
'\'(-inf-29.666667]\'',0,cellular,oct,0.201007,-0.351313,nonexistent,-2.229505,-1.982751,2.959816,-1.67361,-2.022342,0.04392,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.344236,-0.914668,0.093604,no
'\'(29.666667-41.333333]\'',0,telephone,apr,0.201007,-0.351313,nonexistent,-1.205908,-0.871158,-1.436671,-1.278477,-0.914668,0.033214,no
'\'(41.333333-53]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.777948,0.836434,0.040626,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.367886,-0.914668,0.006039,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.041998,no
'\'(-inf-29.666667]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.771026,0.836434,0.077134,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.048586,no
'\'(-inf-29.666667]\'',0,telephone,aug,0.201007,-0.351313,nonexistent,-1.141933,0.772066,0.47863,-1.569779,-2.37392,0.081526,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.350004,-0.914668,0.011803,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77391,0.836434,0.133681,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.772757,0.836434,0.011803,no
'\'(53-64.666667]\'',0,telephone,may,-4.941686,1.494426,success,-1.205908,-1.185304,-1.240788,-1.371347,-0.914668,0.007137,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.118584,no
'\'(76.333333-inf)\'',1,cellular,aug,0.201007,-0.351313,nonexistent,-1.141933,0.772066,0.47863,-1.570933,-2.37392,0.070821,no
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.772757,0.836434,0.146033,no
'\'(41.333333-53]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.773334,0.836434,0.041998,no
'\'(-inf-29.666667]\'',0,cellular,jun,0.201007,-0.351313,nonexistent,-1.141933,0.820396,0.152158,-1.646499,-2.37392,0.078507,yes
'\'(41.333333-53]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,-1.909631,-2.379748,1.9804,-1.592276,-1.225523,0.020587,no
'\'(41.333333-53]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.771026,0.836434,0.080703,no
'\'(29.666667-41.333333]\'',0,cellular,oct,-4.941686,5.185905,failure,-0.758084,1.762834,-1.959026,-1.522479,-2.754004,0.040077,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.772757,0.836434,0.100741,no
'\'(41.333333-53]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77391,0.836434,0.062586,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.350004,-0.914668,0.014548,no
'\'(41.333333-53]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.350004,-0.914668,0.021685,no
'\'(41.333333-53]\'',0,telephone,sep,0.201007,-0.351313,nonexistent,-0.758084,1.068951,0.652748,-1.580739,-2.754004,0.003019,no
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.711612,0.332822,0.152896,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.350004,-0.914668,0.015097,no
'\'(41.333333-53]\'',0,cellular,nov,0.201007,1.494426,failure,-0.118336,-0.655398,-0.326667,0.262256,0.397979,0.007137,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.32347,-0.914668,0.148504,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.031567,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.319432,-0.914668,0.027724,no
'\'(41.333333-53]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.776795,0.836434,0.01894,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.031018,no
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.040626,no
'\'(29.666667-41.333333]\'',0,cellular,apr,0.201007,-0.351313,nonexistent,-1.205908,-0.871158,-1.436671,-1.278477,-0.914668,0.041449,no
'\'(41.333333-53]\'',0,telephone,apr,0.201007,1.494426,failure,-1.205908,-0.871158,-1.436671,-1.278477,-0.914668,0.020038,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.771026,0.836434,0.032116,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.717957,0.836434,0.038979,no
'\'(41.333333-53]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.306672,0.397979,0.017019,no
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.776795,0.836434,0.023058,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.770449,0.836434,0.054625,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.328592,0.397979,0.024705,no
'\'(29.666667-41.333333]\'',0,telephone,sep,0.201007,-0.351313,nonexistent,-0.758084,1.068951,0.652748,-1.581893,-2.754004,0.001372,no
'\'(29.666667-41.333333]\'',0,telephone,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.772757,0.836434,0.07686,no
'\'(53-64.666667]\'',0,telephone,aug,0.201007,-0.351313,nonexistent,-1.141933,0.772066,0.47863,-1.566895,-2.37392,0.065605,yes
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.313664,-0.914668,0.009607,no
'\'(29.666667-41.333333]\'',0,cellular,apr,0.201007,1.494426,failure,-1.205908,-0.871158,-1.436671,-1.278477,-0.914668,0.041175,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.772757,0.836434,0.116113,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.287637,0.397979,0.037057,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.287637,0.397979,0.019215,no
'\'(53-64.666667]\'',1,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.771603,0.836434,0.016195,no
'\'(53-64.666667]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.716804,0.836434,0.258304,yes
'\'(53-64.666667]\'',1,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.714496,0.332822,0.115839,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.23053,0.397979,0.016195,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.009333,no
'\'(29.666667-41.333333]\'',0,cellular,nov,-4.98858,5.185905,success,-2.229505,-1.606466,2.263342,-1.676494,-2.022342,0.017568,yes
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.068076,no
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.777948,0.836434,0.070821,no
'\'(29.666667-41.333333]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77218,0.836434,0.008509,no
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.776218,0.836434,0.031018,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.350004,-0.914668,0.046116,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.773334,0.836434,0.067801,no
'\'(-inf-29.666667]\'',0,cellular,mar,0.201007,-0.351313,nonexistent,-1.205908,-1.271608,-2.06785,-1.16484,-0.914668,0.061488,yes
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.32347,-0.914668,0.006039,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.358657,-0.914668,0.055174,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.331546,-0.914668,0.087565,no
'\'(41.333333-53]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77391,0.836434,0.016195,no
'\'(29.666667-41.333333]\'',0,telephone,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.773334,0.836434,0.102114,no
'\'(41.333333-53]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.77391,0.836434,0.042547,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.085918,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.714496,0.332822,0.020038,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.32347,-0.914668,0.159758,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.063684,no
'\'(29.666667-41.333333]\'',0,cellular,sep,-4.926055,7.031644,failure,-0.758084,1.068951,0.652748,-1.581893,-2.754004,0.047488,yes
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,1.494426,failure,-0.118336,-0.655398,-0.326667,0.287637,0.397979,0.02745,no
'\'(53-64.666667]\'',0,cellular,jun,0.201007,-0.351313,nonexistent,-1.909631,-1.064478,-0.06549,-1.362118,-1.225523,0.011529,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.711612,0.332822,0.179248,yes
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.773334,0.836434,0.037332,no
'\'(53-64.666667]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.359811,-0.914668,0.108976,yes
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.027724,no
'\'(53-64.666667]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.362695,-0.914668,0.071095,no
'\'(41.333333-53]\'',0,cellular,jun,0.201007,-0.351313,nonexistent,-1.909631,-1.064478,-0.06549,-1.357503,-1.225523,0.087016,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.043096,no
'\'(29.666667-41.333333]\'',0,cellular,apr,0.201007,-0.351313,nonexistent,-1.205908,-0.871158,-1.436671,-1.268093,-0.914668,0.070821,no
'\'(41.333333-53]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.367886,-0.914668,0.037332,no
'\'(-inf-29.666667]\'',0,cellular,mar,0.201007,-0.351313,nonexistent,-1.205908,-1.271608,-2.06785,-1.044281,-0.914668,0.3972,yes
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.774487,0.836434,0.015372,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.274225,no
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.771026,0.836434,0.088114,no
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.775641,0.836434,0.052429,no
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.339621,-0.914668,0.313752,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.183091,no
'\'(-inf-29.666667]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.344236,-0.914668,0.004117,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.713919,0.332822,0.020038,no
'\'(53-64.666667]\'',1,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.019489,no
'\'(-inf-29.666667]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.776795,0.836434,0.062586,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,1.494426,failure,-0.118336,-0.655398,-0.326667,0.287637,0.397979,0.004666,no
'\'(41.333333-53]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.772757,0.836434,0.059017,no
'\'(29.666667-41.333333]\'',0,telephone,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.769296,0.836434,0.066429,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.028822,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.328592,0.397979,0.05737,no
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.771026,0.836434,0.016195,no
'\'(29.666667-41.333333]\'',0,cellular,nov,-4.98858,1.494426,success,-0.118336,-0.655398,-0.326667,0.287637,0.397979,0.054076,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,1.494426,failure,-0.118336,-0.655398,-0.326667,0.262256,0.397979,0.018666,no
'\'(29.666667-41.333333]\'',0,cellular,nov,0.201007,-0.351313,nonexistent,-0.118336,-0.655398,-0.326667,0.287637,0.397979,0.045018,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.711612,0.332822,0.310733,yes
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.040077,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.01647,no
'\'(41.333333-53]\'',0,cellular,jun,0.201007,1.494426,failure,-1.909631,-1.064478,-0.06549,-1.362118,-1.225523,0.07686,yes
